Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Mean household income (dollars)","75,475","(+/-2,723)","99,992","(+/-3,078)","91,207","(+/-3,521)","87,834","(+/-2,983)","133,686","(+/-5,665)","91,294","(+/-3,250)","101,160","(+/-3,668)","92,530","(+/-2,932)","72,275","(+/-2,284)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population","779,035","(+/-2,568)","800,594","(+/-3,276)","789,933","(+/-3,244)","801,346","(+/-3,325)","789,021","(+/-13,318)","788,254","(+/-11,674)","790,538","(+/-11,599)","756,718","(+/-9,216)","737,781","(+/-8,634)"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage","696,356","(+/-6,884)","733,067","(+/-7,434)","720,176","(+/-6,993)","722,248","(+/-7,227)","727,293","(+/-13,419)","718,965","(+/-11,496)","719,842","(+/-12,964)","700,061","(+/-9,634)","640,749","(+/-11,667)"
Socioeconomic,"Health Insurance Coverage","With private health insurance","469,473","(+/-12,208)","555,197","(+/-11,372)","515,568","(+/-10,154)","529,258","(+/-11,517)","601,012","(+/-14,334)","520,776","(+/-13,580)","559,290","(+/-14,111)","494,410","(+/-11,793)","414,554","(+/-14,264)"
Socioeconomic,"Health Insurance Coverage","With public coverage","344,120","(+/-9,194)","279,156","(+/-8,577)","303,247","(+/-8,222)","286,760","(+/-9,217)","217,398","(+/-11,879)","297,707","(+/-10,326)","261,511","(+/-11,047)","302,975","(+/-8,362)","303,869","(+/-12,014)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","82,679","(+/-6,604)","67,527","(+/-6,431)","69,757","(+/-6,313)","79,098","(+/-6,474)","61,728","(+/-7,059)","69,289","(+/-6,528)","70,696","(+/-6,811)","56,657","(+/-5,432)","97,032","(+/-7,874)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years","157,038","(+/-2,430)","175,216","(+/-2,358)","174,407","(+/-2,617)","195,473","(+/-2,477)","194,770","(+/-8,166)","182,799","(+/-6,446)","184,837","(+/-7,132)","183,675","(+/-5,844)","196,817","(+/-4,935)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","7,759","(+/-2,454)","7,385","(+/-2,157)","11,024","(+/-3,011)","10,760","(+/-3,100)","12,517","(+/-3,608)","8,606","(+/-2,094)","10,738","(+/-2,785)","9,639","(+/-2,616)","14,427","(+/-3,987)"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",10.9,(+/-1.5),8.3,(+/-1.2),9.7,(+/-1.1),9.9,(+/-1.3),5.1,(+/-1.2),10.1,(+/-1.3),9.6,(+/-1.3),11.9,(+/-1.0),18.0,(+/-2.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",18.1,(+/-2.9),13.4,(+/-2.4),15.5,(+/-2.2),14.3,(+/-2.5),6.3,(+/-1.8),16.1,(+/-2.6),15.4,(+/-2.4),18.3,(+/-2.1),28.8,(+/-4.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",18.0,(+/-6.8),9.2,(+/-4.6),14.7,(+/-6.5),12.2,(+/-4.5),4.3,(+/-3.2),7.7,(+/-3.9),13.6,(+/-5.6),14.8,(+/-5.6),32.7,(+/-8.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",7.1,(+/-1.3),4.3,(+/-0.8),4.9,(+/-1.0),5.9,(+/-1.1),3.2,(+/-0.9),5.5,(+/-1.0),5.0,(+/-1.1),5.8,(+/-1.0),6.0,(+/-1.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",9.0,(+/-2.7),5.4,(+/-1.7),6.3,(+/-2.1),6.6,(+/-1.7),2.8,(+/-1.3),8.3,(+/-2.3),7.2,(+/-2.1),7.0,(+/-1.7),8.5,(+/-2.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",8.9,(+/-7.4),0.9,(+/-1.3),3.6,(+/-3.1),4.5,(+/-2.8),1.6,(+/-1.8),1.9,(+/-1.6),5.5,(+/-4.0),2.4,(+/-2.8),2.1,(+/-3.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",24.2,(+/-5.0),27.2,(+/-5.0),26.1,(+/-4.3),26.8,(+/-4.7),13.8,(+/-4.6),28.2,(+/-5.9),24.8,(+/-5.2),33.3,(+/-4.5),32.3,(+/-4.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",36.9,(+/-7.3),38.4,(+/-7.8),36.3,(+/-6.6),37.0,(+/-6.4),20.6,(+/-7.4),36.5,(+/-8.0),35.1,(+/-8.4),45.9,(+/-6.2),44.2,(+/-6.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",42.0,(+/-14.1),43.4,(+/-21.1),43.0,(+/-19.9),43.7,(+/-16.4),26.1,(+/-21.3),30.5,(+/-19.5),52.2,(+/-21.1),60.3,(+/-14.7),54.9,(+/-13.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",15.5,(+/-1.4),13.3,(+/-1.2),14.4,(+/-1.1),12.7,(+/-1.4),7.6,(+/-1.1),14.0,(+/-1.3),12.8,(+/-1.2),15.3,(+/-1.1),21.3,(+/-1.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",20.7,(+/-3.5),17.7,(+/-3.2),19.9,(+/-3.2),17.2,(+/-3.3),8.9,(+/-2.5),19.8,(+/-3.1),17.7,(+/-2.9),20.6,(+/-2.8),34.6,(+/-4.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",20.3,(+/-3.5),17.4,(+/-3.2),19.4,(+/-3.2),17.1,(+/-3.3),8.6,(+/-2.5),19.6,(+/-3.1),17.4,(+/-2.9),20.4,(+/-2.8),34.5,(+/-4.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",20.6,(+/-5.1),20.0,(+/-5.5),21.2,(+/-5.1),15.2,(+/-4.1),9.9,(+/-3.9),18.4,(+/-4.7),16.3,(+/-4.3),20.3,(+/-4.3),35.4,(+/-6.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",20.2,(+/-3.8),16.6,(+/-3.1),18.7,(+/-3.3),17.7,(+/-3.6),8.2,(+/-2.4),20.1,(+/-3.3),17.8,(+/-3.7),20.5,(+/-3.1),34.1,(+/-4.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",14.3,(+/-1.2),12.2,(+/-0.9),12.9,(+/-0.9),11.4,(+/-1.1),7.3,(+/-0.9),12.4,(+/-1.0),11.4,(+/-1.0),13.7,(+/-1.0),16.7,(+/-1.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",13.9,(+/-1.5),10.0,(+/-1.3),13.8,(+/-1.7),11.3,(+/-1.8),7.4,(+/-1.3),12.5,(+/-1.6),10.3,(+/-1.7),14.5,(+/-1.5),15.3,(+/-1.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",11.8,(+/-1.6),9.2,(+/-1.4),11.1,(+/-1.3),10.7,(+/-1.6),5.4,(+/-1.2),11.2,(+/-1.5),10.6,(+/-1.4),12.4,(+/-1.1),20.0,(+/-2.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",29.3,(+/-2.3),28.3,(+/-2.2),26.6,(+/-2.4),22.2,(+/-2.1),17.5,(+/-2.2),25.2,(+/-2.2),20.6,(+/-2.2),29.4,(+/-2.5),25.5,(+/-2.4)
Education,"School Enrollment","Population 3 years and over enrolled in school","152,165","(+/-4,517)","185,978","(+/-4,944)","164,449","(+/-4,309)","188,181","(+/-5,117)","180,393","(+/-8,248)","165,466","(+/-6,219)","199,820","(+/-7,308)","177,773","(+/-5,355)","185,272","(+/-6,663)"
Education,"School Enrollment","Nursery school, preschool","8,453","(+/-1,721)","10,713","(+/-1,987)","6,306","(+/-1,316)","10,333","(+/-1,907)","10,940","(+/-2,340)","10,219","(+/-2,280)","10,540","(+/-1,973)","9,247","(+/-1,494)","9,830","(+/-2,566)"
Education,"School Enrollment",Kindergarten,"8,494","(+/-1,581)","11,516","(+/-1,813)","8,672","(+/-1,471)","8,060","(+/-1,407)","8,531","(+/-1,847)","9,890","(+/-1,672)","7,236","(+/-1,608)","10,288","(+/-1,482)","15,102","(+/-2,711)"
Education,"School Enrollment","Elementary school (grades 1-8)","63,861","(+/-2,749)","70,789","(+/-2,442)","74,469","(+/-2,830)","80,056","(+/-2,522)","84,730","(+/-5,273)","74,670","(+/-4,246)","74,810","(+/-3,666)","77,485","(+/-3,842)","78,774","(+/-4,348)"
Education,"School Enrollment","High school (grades 9-12)","36,588","(+/-2,581)","38,178","(+/-2,245)","36,406","(+/-1,674)","47,334","(+/-2,548)","43,130","(+/-3,054)","38,181","(+/-3,295)","40,687","(+/-3,026)","43,165","(+/-3,067)","38,035","(+/-2,857)"
Education,"School Enrollment","College or graduate school","34,769","(+/-3,122)","54,782","(+/-4,163)","38,596","(+/-3,610)","42,398","(+/-3,815)","33,062","(+/-3,515)","32,506","(+/-3,422)","66,547","(+/-5,604)","37,588","(+/-3,046)","43,531","(+/-4,331)"
Education,"Educational Attainment","Population 25 years and over","573,555","(+/-3,301)","559,675","(+/-2,704)","568,363","(+/-2,499)","541,283","(+/-3,844)","552,232","(+/-9,309)","561,009","(+/-7,649)","546,912","(+/-8,556)","540,581","(+/-6,154)","488,357","(+/-5,877)"
Education,"Educational Attainment","Less than 9th grade","25,163","(+/-3,655)","19,916","(+/-3,017)","22,221","(+/-2,761)","25,958","(+/-2,983)","15,241","(+/-2,933)","23,713","(+/-3,405)","18,477","(+/-3,470)","16,350","(+/-2,220)","23,672","(+/-2,852)"
Education,"Educational Attainment","9th to 12th grade, no diploma","42,484","(+/-3,607)","30,161","(+/-3,612)","36,211","(+/-3,573)","34,979","(+/-3,596)","20,543","(+/-3,115)","35,035","(+/-3,440)","26,007","(+/-2,641)","36,790","(+/-3,429)","33,719","(+/-3,885)"
Education,"Educational Attainment","High school graduate (includes equivalency)","206,554","(+/-7,063)","161,037","(+/-6,211)","173,177","(+/-7,127)","190,077","(+/-7,286)","123,093","(+/-7,271)","182,782","(+/-6,525)","154,862","(+/-7,210)","185,574","(+/-6,637)","152,345","(+/-7,536)"
Education,"Educational Attainment","Some college, no degree","112,194","(+/-4,982)","103,310","(+/-5,226)","119,532","(+/-5,362)","104,511","(+/-5,521)","91,952","(+/-5,081)","108,077","(+/-5,613)","99,628","(+/-6,617)","107,494","(+/-6,149)","110,745","(+/-6,633)"
Education,"Educational Attainment","Associate's degree","54,010","(+/-3,745)","49,078","(+/-3,746)","52,513","(+/-3,957)","39,455","(+/-3,509)","42,914","(+/-3,737)","40,406","(+/-3,780)","43,333","(+/-4,234)","38,611","(+/-3,533)","35,451","(+/-4,425)"
Education,"Educational Attainment","Bachelor's degree","81,943","(+/-4,646)","116,358","(+/-4,886)","100,655","(+/-5,537)","94,948","(+/-5,155)","160,394","(+/-6,770)","110,639","(+/-6,230)","119,900","(+/-7,275)","94,622","(+/-4,906)","73,036","(+/-4,722)"
Education,"Educational Attainment","Graduate or professional degree","51,207","(+/-3,761)","79,815","(+/-3,502)","64,054","(+/-4,153)","51,355","(+/-4,154)","98,095","(+/-6,508)","60,357","(+/-4,832)","84,705","(+/-5,045)","61,140","(+/-3,731)","59,389","(+/-4,919)"
Education,"Educational Attainment","Percent high school graduate or higher",88.2,(+/-0.9),91.1,(+/-0.8),89.7,(+/-0.8),88.7,(+/-0.9),93.5,(+/-0.7),89.5,(+/-0.8),91.9,(+/-0.8),90.2,(+/-0.7),88.2,(+/-1.1)
Education,"Educational Attainment","Percent bachelor's degree or higher",23.2,(+/-1.2),35.1,(+/-1.0),29.0,(+/-1.2),27.0,(+/-1.2),46.8,(+/-1.6),30.5,(+/-1.2),37.4,(+/-1.3),28.8,(+/-1.0),27.1,(+/-1.3)

"Source: 2023 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag","District 04 Estimate","District 04 Flag","District 05 Estimate","District 05 Flag","District 06 Estimate","District 06 Flag","District 07 Estimate","District 07 Flag","District 08 Estimate","District 08 Flag","District 09 Estimate","District 09 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors","263,068",G,"329,402",G,"343,585",G,"237,253",G,"323,732",G,"273,977",G,"442,806",G,"283,977",G,"336,268",G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",47,H,83,H,543,H,116,G,74,G,393,J,140,J,213,H,22,J
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",580,G,319,G,174,J,454,J,100,H,"1,029",H,348,H,316,J,0,N
Business,"Paid employees for pay period including March 12",Utilities,492,H,118,G,298,G,741,J,229,J,412,H,534,H,527,H,140,J
Business,"Paid employees for pay period including March 12",Construction,"12,567",G,"20,033",G,"16,190",G,"10,333",G,"14,284",G,"17,042",G,"26,557",G,"12,734",G,"14,420",G
Business,"Paid employees for pay period including March 12",Manufacturing,"48,026",G,"32,970",G,"67,670",G,"52,177",G,"20,605",G,"35,514",G,"33,364",G,"45,849",G,"21,703",G
Business,"Paid employees for pay period including March 12","Wholesale trade","6,943",G,"15,572",G,"9,419",G,"10,345",G,"8,237",G,"13,288",G,"16,073",G,"12,317",G,"25,328",H
Business,"Paid employees for pay period including March 12","Retail trade","42,894",G,"42,991",G,"43,686",G,"36,329",H,"40,021",G,"36,334",G,"38,600",G,"34,441",G,"33,470",G
Business,"Paid employees for pay period including March 12","Transportation and warehousing","10,167",H,"14,068",G,"19,937",G,"17,710",G,"19,236",G,"19,079",H,"19,349",H,"11,365",G,"57,062",H
Business,"Paid employees for pay period including March 12",Information,"2,329",G,"5,842",H,"4,538",G,"2,081",H,"6,606",G,"6,844",H,"11,568",G,"2,740",H,"3,379",G
Business,"Paid employees for pay period including March 12","Finance and insurance","7,240",G,"13,019",G,"16,825",G,"7,884",H,"17,851",G,"8,689",G,"19,531",G,"12,619",G,"8,558",G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing","4,424",G,"7,131",G,"3,541",G,"2,561",G,"6,215",H,"5,023",G,"7,439",G,"4,108",G,"5,183",G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services","5,083",G,"18,460",G,"21,562",G,"8,843",G,"19,133",G,"8,458",G,"29,611",G,"11,965",G,"11,366",G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises","3,941",H,"10,654",G,"7,272",G,"3,584",G,"31,223",G,"9,084",H,"15,635",H,"10,187",H,"25,095",H
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services","13,853",G,"37,684",G,"22,784",G,"15,124",G,"23,380",G,"22,099",G,"28,265",G,"19,714",G,"26,648",G
Business,"Paid employees for pay period including March 12","Educational services","3,155",J,"5,681",H,"7,302",G,"3,630",H,"8,045",G,"3,851",G,"20,801",G,"7,140",G,"9,156",G
Business,"Paid employees for pay period including March 12","Health care and social assistance","39,460",G,"47,749",G,"49,078",G,"27,598",G,"57,919",G,"35,183",G,"92,236",G,"53,039",G,"47,371",G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation","7,707",G,"4,397",G,"4,156",G,"1,790",G,"6,562",G,"5,450",G,"10,709",G,"2,488",G,"4,654",G
Business,"Paid employees for pay period including March 12","Accommodation and food services","42,864",G,"38,276",G,"34,682",G,"27,361",G,"30,681",G,"33,593",G,"54,891",G,"29,752",G,"28,624",G
Business,"Paid employees for pay period including March 12","Other services (except public administration)","11,290",G,"14,341",G,"13,900",G,"8,576",G,"13,293",G,"12,555",G,"17,128",G,"12,435",G,"14,004",G
Business,"Paid employees for pay period including March 12","Industries not classified",6,G,14,J,28,H,16,J,38,J,57,G,27,H,28,J,12,J
Business,"Annual payroll ($1,000)","Total for all sectors","12,955,975",G,"18,552,029",G,"19,648,163",G,"12,028,668",G,"22,187,966",G,"14,740,626",G,"31,251,569",G,"16,364,820",G,"20,603,799",G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting","1,760",J,"3,027",H,"12,454",G,"5,326",G,"3,026",G,"35,799",J,"7,165",H,"10,833",G,"1,779",J
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction","43,274",G,"26,626",H,"11,900",H,"34,665",H,"11,554",J,"76,706",H,"28,960",H,"21,740",H,0,N
Business,"Annual payroll ($1,000)",Utilities,"41,530",G,"10,414",G,"23,742",G,"76,181",J,"25,184",H,"38,299",H,"53,953",H,"45,555",H,"17,440",J
Business,"Annual payroll ($1,000)",Construction,"758,023",G,"1,334,350",G,"1,174,814",G,"681,271",G,"1,162,704",G,"1,200,583",G,"1,975,504",G,"886,589",G,"1,070,789",G
Business,"Annual payroll ($1,000)",Manufacturing,"3,224,156",G,"2,034,437",G,"4,690,858",G,"3,264,414",G,"1,467,500",G,"2,091,580",G,"2,106,205",G,"2,881,363",G,"1,879,534",G
Business,"Annual payroll ($1,000)","Wholesale trade","492,057",G,"1,252,729",G,"707,057",G,"755,948",G,"760,994",G,"1,040,228",G,"1,420,135",G,"925,283",G,"1,862,211",G
Business,"Annual payroll ($1,000)","Retail trade","1,397,290",G,"1,621,168",G,"1,610,161",G,"1,275,443",G,"1,533,448",G,"1,318,216",G,"1,490,877",G,"1,164,899",G,"1,273,631",G
Business,"Annual payroll ($1,000)","Transportation and warehousing","587,503",H,"770,257",G,"1,123,725",G,"1,023,664",G,"1,141,952",G,"1,138,638",H,"909,086",G,"637,409",G,"3,348,584",H
Business,"Annual payroll ($1,000)",Information,"121,233",G,"634,272",H,"261,019",G,"112,989",G,"590,397",G,"420,827",H,"1,156,626",G,"251,504",H,"235,548",G
Business,"Annual payroll ($1,000)","Finance and insurance","452,543",G,"1,116,092",G,"1,495,894",G,"573,603",H,"2,049,678",G,"675,769",G,"2,323,191",G,"1,515,242",G,"778,100",H
Business,"Annual payroll ($1,000)","Real estate and rental and leasing","198,350",G,"557,764",H,"225,632",G,"151,311",G,"481,307",H,"316,317",G,"573,091",H,"278,143",G,"322,411",G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services","363,206",G,"1,852,672",G,"2,050,299",G,"634,260",G,"1,761,955",G,"616,189",G,"3,406,612",G,"961,099",G,"854,542",G
Business,"Annual payroll ($1,000)","Management of companies and enterprises","376,673",G,"1,261,261",H,"625,948",G,"253,734",G,"3,156,212",G,"1,108,330",H,"1,679,472",H,"1,264,782",H,"2,717,157",H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services","504,714",G,"1,511,635",G,"1,059,656",G,"583,322",G,"1,355,035",G,"1,005,796",G,"1,662,650",G,"954,170",G,"1,017,963",G
Business,"Annual payroll ($1,000)","Educational services","92,859",J,"217,966",H,"233,400",G,"113,398",H,"342,306",G,"175,576",G,"1,229,131",G,"264,781",G,"430,633",G
Business,"Annual payroll ($1,000)","Health care and social assistance","2,620,691",G,"2,842,642",G,"3,012,340",G,"1,575,436",G,"4,764,051",H,"1,876,797",G,"7,312,930",G,"3,244,182",G,"3,151,398",G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation","238,426",H,"107,631",G,"109,152",G,"35,481",G,"302,224",G,"180,873",G,"1,524,251",G,"59,413",G,"329,200",H
Business,"Annual payroll ($1,000)","Accommodation and food services","1,046,903",G,"890,169",G,"756,982",G,"589,405",G,"754,004",G,"922,585",G,"1,647,421",G,"614,472",G,"673,583",G
Business,"Annual payroll ($1,000)","Other services (except public administration)","394,253",G,"506,433",G,"461,943",G,"288,515",G,"522,263",G,"496,718",G,"743,080",G,"382,173",G,"635,307",G
Business,"Annual payroll ($1,000)","Industries not classified",531,G,484,G,"1,187",H,302,H,"2,172",H,"4,800",H,"1,229",J,"1,188",H,253,H
Business,"Total Establishments","Total for all sectors","15,337",X,"17,304",X,"16,776",X,"13,684",X,"17,646",X,"16,452",X,"21,325",X,"16,699",X,"13,927",X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",13,X,17,X,24,X,26,X,23,X,26,X,31,X,53,X,3,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",21,X,19,X,15,X,37,X,9,X,37,X,22,X,15,X,0,N
Business,"Total Establishments",Utilities,28,X,13,X,22,X,28,X,13,X,25,X,31,X,24,X,7,X
Business,"Total Establishments",Construction,"1,296",X,"1,626",X,"1,336",X,"1,331",X,"1,486",X,"1,646",X,"1,866",X,"1,233",X,860,X
Business,"Total Establishments",Manufacturing,712,X,611,X,777,X,663,X,433,X,786,X,708,X,662,X,435,X
Business,"Total Establishments","Wholesale trade",488,X,843,X,689,X,516,X,587,X,749,X,804,X,742,X,906,X
Business,"Total Establishments","Retail trade","2,939",X,"2,587",X,"2,702",X,"2,484",X,"2,293",X,"2,690",X,"2,704",X,"2,765",X,"2,294",X
Business,"Total Establishments","Transportation and warehousing",389,X,523,X,534,X,586,X,517,X,579,X,550,X,530,X,"1,051",X
Business,"Total Establishments",Information,211,X,295,X,292,X,211,X,408,X,334,X,624,X,270,X,226,X
Business,"Total Establishments","Finance and insurance",943,X,"1,092",X,"1,100",X,853,X,"1,327",X,979,X,"1,295",X,"1,371",X,716,X
Business,"Total Establishments","Real estate and rental and leasing",697,X,883,X,721,X,542,X,966,X,820,X,"1,108",X,702,X,680,X
Business,"Total Establishments","Professional, scientific, and technical services",904,X,"1,648",X,"1,409",X,861,X,"1,996",X,"1,245",X,"2,182",X,"1,226",X,929,X
Business,"Total Establishments","Management of companies and enterprises",57,X,118,X,99,X,55,X,183,X,109,X,187,X,223,X,262,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",790,X,989,X,915,X,687,X,"1,079",X,843,X,"1,139",X,879,X,773,X
Business,"Total Establishments","Educational services",110,X,202,X,184,X,126,X,278,X,165,X,261,X,155,X,203,X
Business,"Total Establishments","Health care and social assistance","1,741",X,"2,054",X,"2,093",X,"1,648",X,"2,301",X,"1,707",X,"2,336",X,"2,151",X,"1,466",X
Business,"Total Establishments","Arts, entertainment, and recreation",319,X,284,X,284,X,166,X,472,X,342,X,"1,019",X,228,X,179,X
Business,"Total Establishments","Accommodation and food services","1,970",X,"1,644",X,"1,662",X,"1,448",X,"1,609",X,"1,673",X,"2,345",X,"1,587",X,"1,503",X
Business,"Total Establishments","Other services (except public administration)","1,701",X,"1,845",X,"1,903",X,"1,403",X,"1,639",X,"1,677",X,"2,092",X,"1,856",X,"1,418",X
Business,"Total Establishments","Industries not classified",8,X,11,X,15,X,13,X,27,X,20,X,21,X,27,X,14,X

"Source: 2023 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"N Not available or not comparable"
"S Cell value withheld because it did not meet publication standards"
"X Not applicable"
